date,ppm
20.18-12-03,401
20.18-12-03,402
20.18-12-03,403
20.18-12-03,402
20.18-12-03,402
20.18-12-03,403
20.18-12-03,402
20.18-12-03,403
20.18-12-03,403
20.18-12-03,402
20.18-12-03,402
20.18-12-03,403
20.18-12-03,404
20.18-12-03,406
20.18-12-03,406
20.18-12-03,402
20.18-12-03,403
20.18-12-03,404
20.18-12-03,405
20.18-12-03,403
20.18-12-03,402
20.18-12-03,402
20.18-12-03,403
20.18-12-03,402
20.18-12-03,402
20.18-12-03,404
20.18-12-03,401
20.18-12-03,403
20.18-12-03,403
20.18-12-03,402
20.18-12-03,404
20.18-12-03,403
20.18-12-03,403
20.18-12-03,401
20.18-12-03,402
20.18-12-03,401
20.18-12-03,401
20.18-12-03,400
20.18-12-03,401
20.18-12-03,400
20.18-12-03,402
20.18-12-03,402
20.18-12-03,400
20.18-12-03,402
20.18-12-03,400
20.18-12-03,400
20.18-12-03,403
20.18-12-03,399
20.18-12-03,400
20.18-12-03,400
20.18-12-03,401
20.18-12-03,402
20.18-12-03,399
20.18-12-03,410
20.18-12-03,411
20.18-12-03,411
20.18-12-03,414
20.18-12-03,414
20.18-12-03,415
20.18-12-03,412
20.18-12-03,412
20.18-12-03,413
20.18-12-03,414
20.18-12-03,413
20.18-12-03,414
20.18-12-03,420
20.18-12-03,418
20.18-12-03,417
20.18-12-03,415
20.18-12-03,415
20.18-12-03,416
20.18-12-03,416
20.18-12-03,417
20.18-12-03,418
20.18-12-03,415
20.18-12-03,417
20.18-12-03,412
20.18-12-03,413
20.18-12-03,413
20.18-12-03,412
20.18-12-03,413
20.18-12-03,409
20.18-12-03,413
20.18-12-03,416
20.18-12-03,415
20.18-12-03,421
20.18-12-03,425
20.18-12-03,436
20.18-12-03,435
20.18-12-03,442
20.18-12-03,443
20.18-12-03,437
20.18-12-03,419
20.18-12-03,417
20.18-12-03,420
20.18-12-03,423
20.18-12-04,425
20.18-12-04,427
20.18-12-04,429
20.18-12-04,431
20.18-12-04,431
20.18-12-04,434
20.18-12-04,426
20.18-12-04,430
20.18-12-04,426
20.18-12-04,422
20.18-12-04,419
20.18-12-04,417
20.18-12-04,417
20.18-12-04,416
20.18-12-04,417
20.18-12-04,416
20.18-12-04,416
20.18-12-04,417
20.18-12-04,413
20.18-12-04,416
20.18-12-04,416
20.18-12-04,421
20.18-12-04,417
20.18-12-04,419
20.18-12-04,418
20.18-12-04,422
20.18-12-04,419
20.18-12-04,418
20.18-12-04,417
20.18-12-04,416
20.18-12-04,418
20.18-12-04,419
20.18-12-04,420
20.18-12-04,424
20.18-12-04,425
20.18-12-04,425
20.18-12-04,420
20.18-12-04,424
20.18-12-04,421
20.18-12-04,436
20.18-12-04,449
20.18-12-04,442
20.18-12-04,439
20.18-12-04,435
20.18-12-04,437
20.18-12-04,436
20.18-12-04,439
20.18-12-04,445
20.18-12-04,444
20.18-12-04,444
20.18-12-04,454
20.18-12-04,439
20.18-12-04,432
