day,co2_ppm
Tue,429
Tue,431
Tue,426
Tue,426
Tue,426
Tue,430
Tue,436
Tue,435
Tue,433
Tue,443
Tue,450
Tue,457
Tue,452
Tue,460
Tue,452
Tue,460
Tue,452
Tue,455
Tue,452
Tue,456
Tue,455
Tue,450
Tue,464
Tue,454
Tue,452
Tue,465
Tue,459
Tue,476
Tue,489
Tue,498
Tue,494
Tue,497
Tue,502
Tue,485
Tue,487
Tue,494
Tue,489
Tue,495
Tue,500
Tue,490
Tue,478
Tue,480
Tue,468
Tue,465
Tue,471
Wed,472
Wed,468
Wed,467
Wed,463
Wed,465
Wed,481
Wed,486
Wed,494
Wed,493
Wed,486
Wed,494
Wed,498
Wed,487
Wed,493
Wed,486
Wed,482
Wed,492
Wed,480
Wed,491
Wed,477
Wed,479
Wed,483
Wed,478
Wed,476
Wed,476
Wed,482
Wed,496
Wed,490
Wed,490
Wed,487
Wed,481
Wed,478
Wed,478
Wed,488
Wed,490
Wed,494
Wed,503
Wed,495
Wed,492
Wed,497
Wed,498
Wed,496
Wed,500
Wed,520
Wed,540
Wed,538
Wed,528
Wed,523
Wed,530
Wed,530
Wed,503
Wed,489
Wed,471
Wed,451
Wed,448
Wed,441
Wed,440
Wed,442
Wed,434
Wed,437
Wed,435
Wed,433
Wed,434
Wed,434
Wed,431
Wed,430
Wed,429
Wed,429
Wed,428
Wed,431
Wed,440
Wed,450
Wed,435
Wed,430
Wed,433
Wed,440
Wed,432
Wed,431
Wed,430
Wed,431
Wed,434
Wed,431
Wed,428
Wed,430
Wed,429
Wed,435
Wed,436
Wed,438
Wed,434
Wed,440
Wed,444
Wed,436
Wed,450
Wed,456
Wed,445
Wed,463
Wed,464
Wed,472
Wed,482
Wed,491
Wed,488
Wed,488
Wed,489
Wed,495
Wed,496
Wed,493
Wed,493
Wed,495
Wed,495
Wed,495
Wed,487
Wed,486
Wed,485
Wed,485
Wed,484
Wed,482
Wed,481
Wed,478
Wed,478
Wed,479
Wed,471
Wed,473
Wed,475
Wed,482
Wed,483
Wed,477
Wed,478
Wed,482
Wed,490
Wed,480
Wed,475
Wed,474
Wed,464
Wed,465
Wed,459
Wed,457
Wed,454
Wed,462
Wed,461
Wed,462
Wed,458
Wed,459
Wed,462
Wed,462
Wed,472
Wed,468
Wed,467
Wed,463
Wed,465
Wed,481
Wed,486
Wed,494
Wed,493
Wed,486
Wed,494
Wed,498
Wed,487
Wed,493
Wed,486
Wed,482
Wed,492
Wed,480
Wed,491
Wed,477
Wed,479
Wed,483
Wed,478
Wed,476
Wed,476
Wed,482
Wed,496
Wed,490
Wed,490
Wed,487
Wed,481
Wed,478
Wed,478
Wed,488
Wed,490
Wed,494
Wed,503
Wed,495
Wed,492
Wed,497
Wed,498
Wed,496
Wed,500
Wed,520
Wed,540
Wed,538
Wed,528
Wed,523
Wed,530
Wed,530
Wed,503
Wed,489
Wed,471
Wed,451
Wed,448
Wed,441
Wed,440
Wed,442
Wed,434
Wed,437
Wed,435
Wed,433
Wed,434
Wed,434
Wed,431
Wed,430
Wed,429
Wed,429
Wed,428
Wed,431
Wed,440
Wed,450
Wed,435
Wed,430
Wed,433
Wed,440
Wed,432
Wed,431
Wed,430
Wed,431
Wed,434
Wed,431
Wed,428
Wed,430
Wed,429
Wed,435
Wed,436
Wed,438
Wed,434
Wed,440
Wed,444
Wed,436
Wed,450
Wed,456
Wed,445
Wed,463
Wed,464
Wed,472
Wed,482
Wed,491
Wed,488
Wed,488
Wed,489
Wed,495
Wed,496
Wed,493
Wed,493
Wed,495
Wed,495
Wed,495
Wed,487
Wed,486
Wed,485
Wed,485
Wed,484
Wed,482
Wed,481
Wed,478
Wed,478
Wed,479
Wed,471
Wed,473
Wed,475
Wed,482
Wed,483
Wed,477
Wed,478
Wed,482
Wed,490
Wed,480
Wed,475
Wed,474
Wed,464
Wed,465
Wed,459
Wed,457
Wed,454
Wed,462
Wed,461
Wed,462
Wed,458
Wed,459
Wed,462
Wed,462
Thu,459
Thu,456
Thu,453
Thu,454
Thu,450
Thu,453
Thu,454
Thu,454
Thu,448
Thu,446
Thu,457
Thu,457
Thu,448
Thu,446
Thu,445
Thu,450
Thu,449
Thu,449
Thu,450
Thu,452
Thu,454
Thu,451
Thu,456
Thu,453
Thu,456
Thu,457
Thu,452
Thu,460
Thu,473
Thu,469
Thu,468
Thu,462
Thu,468
Thu,468
Thu,460
Thu,462
Thu,466
Thu,465
Thu,466
Thu,469
Thu,472
Thu,468
Thu,473
Thu,475
Thu,473
Thu,471
Thu,470
